EPA Facility ID,Facility Name,Facility Address,City,State,County,Zip,Facility DUNS,Latitude,Longitude
100000024289,Trident Seafoods Corporation-Akutan Plant,73 Trident Way,Akutan,AK,Aleutians East (b),99553-0009,800503575,54.131871,-165.787091
100000079201,Great Western Chemical Company - Anchorage,800 East Ship Creek Avenue,Anchorage,AK,Anchorage (b),99501,622768281,61.222778,-149.869167
100000128792,John M. Asplund Wastewater Treatment Facility,2300 Hutson Drive,Anchorage,AK,Anchorage (b),99503,,61.196333,-150.025611
100000231466,George M. Sullivan Plant 2/2A,8900 Starview Drive,Anchorage,AK,Anchorage (b),99504,76667013,61.229614,-149.714355
100000197985,Ocean Terminals Anchorage Storage Yard,501 E 92nd Avenue,Anchorage,AK,Anchorage (b),99515,84610955,61.137778,-149.874444
100000218702,Univar Solutions Anchorage,590 East 100th Avenue,Anchorage,AK,Anchorage (b),99515,181523838,61.13000,-149.872778
100000162691,Alaska Seafood International,6689 Seafood Drive,Anchorage,AK,Anchorage (b),99518,,61.160583,-149.902722
100000219051,South Central Power Project,6075 Electron Drive,Anchorage,AK,Anchorage (b),99518,3899341,61.166667,-149.904444
100000237004,"Sysco Alaska, Inc.",6601 Change Point Drive,Anchorage,AK,Anchorage (b),99518,,61.161833,-149.904722
100000225437,"OBI Seafoods, LLC - Cordova",313 Jim Poor Avenue,Cordova,AK,Valdez-cordova (c),99574,,60.548153,-145.765700
100000221887,Copper River Seafoods - Cordova,"300 Cannery Row, PO Box 158",Cordova,AK,Valdez-cordova (c),99574,,60.553745,-145.757945
100000207705,Trident Seafoods - North Cordova,301 Jim Poor Ave,Cordova,AK,Valdez-cordova (c),99574,,60.549081,-145.764827
100000208704,Silver Bay Seafoods - Craig,"111 JT Brown Street, PO Box 808",Craig,AK,Prince Of Wales-outer Ketchika,99921-0808,,55.488070,-133.140943
100000212147,Wood River,3700 Yako Road,Dillingham,AK,Dillingham (c),99576,9484908,59.068386,-158.438692
