EPA Facility ID,Chemical
100000024289,Ammonia (anhydrous)
100000079201,Chlorine
100000128792,Chlorine
100000231466,Ammonia (conc 20% or greater)
100000197985,Chlorine
100000218702,Ammonia (conc 20% or greater)
100000162691,Ammonia (anhydrous)
100000219051,Ammonia (conc 20% or greater)
100000237004,Ammonia (anhydrous)
100000225437,Ammonia (anhydrous)
100000221887,Ammonia (anhydrous)
100000207705,Ammonia (anhydrous)
100000208704,Ammonia (anhydrous)
100000212147,Ammonia (anhydrous)
100000229326,Propane
100000054718,Ammonia (anhydrous)
100000152201,Ammonia (anhydrous)
100000046407,Ammonia (anhydrous)
100000057779,Ammonia (anhydrous)
100000090527,Sulfur dioxide (anhydrous)
100000090527,Chlorine
100000097691,Hydrochloric acid (conc 37% or greater)
100000238922,Ammonia (anhydrous)
100000241874,Ammonia (anhydrous)
100000083036,Propane
100000150034,Ammonia (anhydrous)
100000150034,Chlorine
100000150034,Methane
100000150034,Hydrogen
100000142357,Flammable Mixture
100000061336,Chlorine
100000035678,Ammonia (anhydrous)
100000173974,Ammonia (anhydrous)
100000217598,Ammonia (anhydrous)
100000143515,Ammonia (anhydrous)
100000171574,Ammonia (anhydrous)
100000165849,Ammonia (anhydrous)
100000052747,Ammonia (anhydrous)
100000176132,Ammonia (anhydrous)
100000148592,Ammonia (anhydrous)
100000181304,Ammonia (anhydrous)
100000227275,Ammonia (anhydrous)
100000225151,Ammonia (anhydrous)
100000208802,Ammonia (anhydrous)
100000217712,Ammonia (anhydrous)
100000069864,Flammable Mixture
100000233348,Flammable Mixture
100000231297,Methane
100000252718,Propane
100000241954,Acetylene  [Ethyne]
100000160504,Ammonia (anhydrous)
100000113003,Ammonia (anhydrous)
100000185836,Ammonia (anhydrous)
100000244121,Propane
100000252683,Flammable Mixture
100000252692,Flammable Mixture
100000211996,Flammable Mixture
100000211996,Propane
100000241801,Flammable Mixture
100000212003,Propane
100000212003,Flammable Mixture
100000177471,Propane
100000177471,Flammable Mixture
100000024252,Ammonia (anhydrous)
100000156724,Ammonia (anhydrous)
100000218052,Ammonia (anhydrous)
